checkpoint,checkpoint_path,quality,yaw_bin,windows,action_mse_mean,action_l2_error_mean,target_action_l2_mean,pred_action_l2_mean,action_rate_l2_mean
uniform_seed1,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_policy0k/seed_1/final_policy_extraction.pt,expert_noisy,"[0.35,0.525)",76,0.0024897493422031403,0.04941612168362266,0.3294248580932617,0.3265303561561986,0.08320167190150211
uniform_seed1,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_policy0k/seed_1/final_policy_extraction.pt,expert_noisy,"[0.525,inf)",92,0.0024627767827199855,0.04913016505863355,0.3415055274963379,0.3395714345185653,0.09179853356402853
uniform_seed2,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_policy0k/seed_2/final_policy_extraction.pt,expert,"[0,0.175)",479,1.1523243825832122e-05,0.003235207314531091,0.3025883473533678,0.3024161603605075,0.0036408105449039405
uniform_seed2,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_policy0k/seed_2/final_policy_extraction.pt,expert,"[0.175,0.35)",365,1.7075498001522397e-05,0.0037286682794355364,0.33772313496837875,0.3374644462376425,0.012029421329498292
uniform_seed2,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_policy0k/seed_2/final_policy_extraction.pt,expert,"[0.35,0.525)",341,2.5553864876185257e-05,0.004186531468745201,0.3458258245697469,0.34546968873994444,0.02063605739923516
uniform_seed2,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_policy0k/seed_2/final_policy_extraction.pt,expert,"[0.525,inf)",441,6.676972035926823e-05,0.005497018462405994,0.3487458348003915,0.3482262412436695,0.0395740955865302
uniform_seed2,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_policy0k/seed_2/final_policy_extraction.pt,expert_noisy,"[0,0.175)",129,0.00247975698737211,0.04936484033747237,0.3115612887596899,0.30789051499477654,0.06987823072329973
uniform_seed2,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_policy0k/seed_2/final_policy_extraction.pt,expert_noisy,"[0.175,0.35)",77,0.0025011413283162302,0.049575787085991405,0.32964907064066307,0.32656211357612114,0.07476287073903269
uniform_seed2,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_policy0k/seed_2/final_policy_extraction.pt,expert_noisy,"[0.35,0.525)",76,0.002488543916689722,0.04940122679660195,0.3294248580932617,0.3266318220841257,0.08320167190150211
uniform_seed2,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_policy0k/seed_2/final_policy_extraction.pt,expert_noisy,"[0.525,inf)",92,0.002468092933945034,0.04918067869932755,0.3415055274963379,0.33984090970910114,0.09179853356402853
