run_key,stage,suite,task_key,env,complexity,episode_length,method_key,method_description,alg,seed,hparam_profile,max_epochs,num_envs,eval_runs,rollout_episodes,rollout_max_steps,wandb_project,wandb_group,notes,overrides
smoke_gym_humanoid_flowwm_mlppolicy_s0_default,smoke,gym,humanoid,gym_humanoid_mujoco,medium_high,1000,flowwm_mlppolicy,Flow world model + MLP policy,pwm_5M_flow_v2_substeps4,0,default,200,16,8,2,1000,flow-mbpo-formal-experiments,single_task_online_smoke_gym,"Single-task online RL from scratch on PACE-ICE. task=humanoid, method=flowwm_mlppolicy, profile=default",alg.save_interval=100;++alg.wandb_log_every_epoch=true
smoke_gym_humanoid_mlpwm_flowpolicy_s0_default,smoke,gym,humanoid,gym_humanoid_mujoco,medium_high,1000,mlpwm_flowpolicy,MLP world model + Flow policy,pwm_5M_flowpolicy,0,default,200,16,8,2,1000,flow-mbpo-formal-experiments,single_task_online_smoke_gym,"Single-task online RL from scratch on PACE-ICE. task=humanoid, method=mlpwm_flowpolicy, profile=default",alg.save_interval=100;++alg.wandb_log_every_epoch=true
smoke_gym_humanoid_flowwm_flowpolicy_s0_default,smoke,gym,humanoid,gym_humanoid_mujoco,medium_high,1000,flowwm_flowpolicy,Flow world model + Flow policy,pwm_5M_fullflow,0,default,200,16,8,2,1000,flow-mbpo-formal-experiments,single_task_online_smoke_gym,"Single-task online RL from scratch on PACE-ICE. task=humanoid, method=flowwm_flowpolicy, profile=default",alg.save_interval=100;++alg.wandb_log_every_epoch=true
smoke_mjlab_proxy_snu_humanoid_mlpwm_mlppolicy_s0_default,smoke,mjlab_proxy,snu_humanoid,mjlab_velocity_flat_unitree_g1,high,1000,mlpwm_mlppolicy,PWM baseline (MLP world model + MLP policy),pwm_5M_baseline_final,0,default,200,32,8,2,1000,flow-mbpo-formal-experiments,single_task_online_smoke_mjlab_proxy,"Single-task online RL from scratch on PACE-ICE. task=snu_humanoid, method=mlpwm_mlppolicy, profile=default",alg.save_interval=100;++alg.wandb_log_every_epoch=true
smoke_mjlab_proxy_snu_humanoid_flowwm_mlppolicy_s0_default,smoke,mjlab_proxy,snu_humanoid,mjlab_velocity_flat_unitree_g1,high,1000,flowwm_mlppolicy,Flow world model + MLP policy,pwm_5M_flow_v2_substeps4,0,default,200,32,8,2,1000,flow-mbpo-formal-experiments,single_task_online_smoke_mjlab_proxy,"Single-task online RL from scratch on PACE-ICE. task=snu_humanoid, method=flowwm_mlppolicy, profile=default",alg.save_interval=100;++alg.wandb_log_every_epoch=true
smoke_mjlab_proxy_snu_humanoid_mlpwm_flowpolicy_s0_default,smoke,mjlab_proxy,snu_humanoid,mjlab_velocity_flat_unitree_g1,high,1000,mlpwm_flowpolicy,MLP world model + Flow policy,pwm_5M_flowpolicy,0,default,200,32,8,2,1000,flow-mbpo-formal-experiments,single_task_online_smoke_mjlab_proxy,"Single-task online RL from scratch on PACE-ICE. task=snu_humanoid, method=mlpwm_flowpolicy, profile=default",alg.save_interval=100;++alg.wandb_log_every_epoch=true
smoke_mjlab_proxy_snu_humanoid_flowwm_flowpolicy_s0_default,smoke,mjlab_proxy,snu_humanoid,mjlab_velocity_flat_unitree_g1,high,1000,flowwm_flowpolicy,Flow world model + Flow policy,pwm_5M_fullflow,0,default,200,32,8,2,1000,flow-mbpo-formal-experiments,single_task_online_smoke_mjlab_proxy,"Single-task online RL from scratch on PACE-ICE. task=snu_humanoid, method=flowwm_flowpolicy, profile=default",alg.save_interval=100;++alg.wandb_log_every_epoch=true
smoke_mjlab_leap_left_grasp_asymmetric_mlpwm_mlppolicy_s0_default,smoke,mjlab,leap_left_grasp_asymmetric,mjlab_leap_left_grasp_asymmetric,medium,500,mlpwm_mlppolicy,PWM baseline (MLP world model + MLP policy),pwm_5M_baseline_final,0,default,200,32,8,2,500,flow-mbpo-formal-experiments,single_task_online_smoke_mjlab,"Single-task online RL from scratch on PACE-ICE. task=leap_left_grasp_asymmetric, method=mlpwm_mlppolicy, profile=default",alg.save_interval=100;++alg.wandb_log_every_epoch=true
smoke_mjlab_leap_left_grasp_asymmetric_flowwm_mlppolicy_s0_default,smoke,mjlab,leap_left_grasp_asymmetric,mjlab_leap_left_grasp_asymmetric,medium,500,flowwm_mlppolicy,Flow world model + MLP policy,pwm_5M_flow_v2_substeps4,0,default,200,32,8,2,500,flow-mbpo-formal-experiments,single_task_online_smoke_mjlab,"Single-task online RL from scratch on PACE-ICE. task=leap_left_grasp_asymmetric, method=flowwm_mlppolicy, profile=default",alg.save_interval=100;++alg.wandb_log_every_epoch=true
smoke_mjlab_leap_left_grasp_asymmetric_mlpwm_flowpolicy_s0_default,smoke,mjlab,leap_left_grasp_asymmetric,mjlab_leap_left_grasp_asymmetric,medium,500,mlpwm_flowpolicy,MLP world model + Flow policy,pwm_5M_flowpolicy,0,default,200,32,8,2,500,flow-mbpo-formal-experiments,single_task_online_smoke_mjlab,"Single-task online RL from scratch on PACE-ICE. task=leap_left_grasp_asymmetric, method=mlpwm_flowpolicy, profile=default",alg.save_interval=100;++alg.wandb_log_every_epoch=true
smoke_mjlab_leap_left_grasp_asymmetric_flowwm_flowpolicy_s0_default,smoke,mjlab,leap_left_grasp_asymmetric,mjlab_leap_left_grasp_asymmetric,medium,500,flowwm_flowpolicy,Flow world model + Flow policy,pwm_5M_fullflow,0,default,200,32,8,2,500,flow-mbpo-formal-experiments,single_task_online_smoke_mjlab,"Single-task online RL from scratch on PACE-ICE. task=leap_left_grasp_asymmetric, method=flowwm_flowpolicy, profile=default",alg.save_interval=100;++alg.wandb_log_every_epoch=true
smoke_mjlab_tracking_rough_unitree_g1_mlpwm_mlppolicy_s0_default,smoke,mjlab,tracking_rough_unitree_g1,mjlab_tracking_rough_unitree_g1,medium_high,1000,mlpwm_mlppolicy,PWM baseline (MLP world model + MLP policy),pwm_5M_baseline_final,0,default,200,32,8,2,1000,flow-mbpo-formal-experiments,single_task_online_smoke_mjlab,"Single-task online RL from scratch on PACE-ICE. task=tracking_rough_unitree_g1, method=mlpwm_mlppolicy, profile=default",alg.save_interval=100;++alg.wandb_log_every_epoch=true;alg.horizon=1
smoke_mjlab_tracking_rough_unitree_g1_flowwm_mlppolicy_s0_default,smoke,mjlab,tracking_rough_unitree_g1,mjlab_tracking_rough_unitree_g1,medium_high,1000,flowwm_mlppolicy,Flow world model + MLP policy,pwm_5M_flow_v2_substeps4,0,default,200,32,8,2,1000,flow-mbpo-formal-experiments,single_task_online_smoke_mjlab,"Single-task online RL from scratch on PACE-ICE. task=tracking_rough_unitree_g1, method=flowwm_mlppolicy, profile=default",alg.save_interval=100;++alg.wandb_log_every_epoch=true;alg.horizon=1
smoke_mjlab_tracking_rough_unitree_g1_mlpwm_flowpolicy_s0_default,smoke,mjlab,tracking_rough_unitree_g1,mjlab_tracking_rough_unitree_g1,medium_high,1000,mlpwm_flowpolicy,MLP world model + Flow policy,pwm_5M_flowpolicy,0,default,200,32,8,2,1000,flow-mbpo-formal-experiments,single_task_online_smoke_mjlab,"Single-task online RL from scratch on PACE-ICE. task=tracking_rough_unitree_g1, method=mlpwm_flowpolicy, profile=default",alg.save_interval=100;++alg.wandb_log_every_epoch=true;alg.horizon=1
smoke_mjlab_tracking_rough_unitree_g1_flowwm_flowpolicy_s0_default,smoke,mjlab,tracking_rough_unitree_g1,mjlab_tracking_rough_unitree_g1,medium_high,1000,flowwm_flowpolicy,Flow world model + Flow policy,pwm_5M_fullflow,0,default,200,32,8,2,1000,flow-mbpo-formal-experiments,single_task_online_smoke_mjlab,"Single-task online RL from scratch on PACE-ICE. task=tracking_rough_unitree_g1, method=flowwm_flowpolicy, profile=default",alg.save_interval=100;++alg.wandb_log_every_epoch=true;alg.horizon=1
smoke_mjlab_leap_left_inhand_pen_twirl_mlpwm_mlppolicy_s0_default,smoke,mjlab,leap_left_inhand_pen_twirl,mjlab_leap_left_inhand_pen_twirl,high,500,mlpwm_mlppolicy,PWM baseline (MLP world model + MLP policy),pwm_5M_baseline_final,0,default,200,16,8,2,500,flow-mbpo-formal-experiments,single_task_online_smoke_mjlab,"Single-task online RL from scratch on PACE-ICE. task=leap_left_inhand_pen_twirl, method=mlpwm_mlppolicy, profile=default",alg.save_interval=100;++alg.wandb_log_every_epoch=true
smoke_mjlab_leap_left_inhand_pen_twirl_flowwm_mlppolicy_s0_default,smoke,mjlab,leap_left_inhand_pen_twirl,mjlab_leap_left_inhand_pen_twirl,high,500,flowwm_mlppolicy,Flow world model + MLP policy,pwm_5M_flow_v2_substeps4,0,default,200,16,8,2,500,flow-mbpo-formal-experiments,single_task_online_smoke_mjlab,"Single-task online RL from scratch on PACE-ICE. task=leap_left_inhand_pen_twirl, method=flowwm_mlppolicy, profile=default",alg.save_interval=100;++alg.wandb_log_every_epoch=true
smoke_mjlab_leap_left_inhand_pen_twirl_mlpwm_flowpolicy_s0_default,smoke,mjlab,leap_left_inhand_pen_twirl,mjlab_leap_left_inhand_pen_twirl,high,500,mlpwm_flowpolicy,MLP world model + Flow policy,pwm_5M_flowpolicy,0,default,200,16,8,2,500,flow-mbpo-formal-experiments,single_task_online_smoke_mjlab,"Single-task online RL from scratch on PACE-ICE. task=leap_left_inhand_pen_twirl, method=mlpwm_flowpolicy, profile=default",alg.save_interval=100;++alg.wandb_log_every_epoch=true
smoke_mjlab_leap_left_inhand_pen_twirl_flowwm_flowpolicy_s0_default,smoke,mjlab,leap_left_inhand_pen_twirl,mjlab_leap_left_inhand_pen_twirl,high,500,flowwm_flowpolicy,Flow world model + Flow policy,pwm_5M_fullflow,0,default,200,16,8,2,500,flow-mbpo-formal-experiments,single_task_online_smoke_mjlab,"Single-task online RL from scratch on PACE-ICE. task=leap_left_inhand_pen_twirl, method=flowwm_flowpolicy, profile=default",alg.save_interval=100;++alg.wandb_log_every_epoch=true
