run_key,stage,suite,task_key,env,complexity,episode_length,method_key,method_description,alg,seed,hparam_profile,max_epochs,num_envs,eval_runs,rollout_episodes,rollout_max_steps,wandb_project,wandb_group,notes,overrides
preflight_smoke_gym_hopper_mlpwm_mlppolicy_s0_default,preflight_smoke,gym,hopper,gym_hopper_mujoco,low,1000,mlpwm_mlppolicy,PWM baseline (MLP world model + MLP policy),pwm_5M_baseline_final,0,default,80,8,4,1,400,flow-mbpo-phoenix-preflight-20260301,phoenix_preflight_smoke,Phoenix preflight smoke: hopper baseline,alg.save_interval=20;++alg.wandb_log_every_epoch=true;env.config.episode_length=400
preflight_smoke_gym_ant_flowwm_mlppolicy_s0_default,preflight_smoke,gym,ant,gym_ant_mujoco,medium,1000,flowwm_mlppolicy,Flow world model + MLP policy,pwm_5M_flow_v2_substeps4,0,default,80,8,4,1,400,flow-mbpo-phoenix-preflight-20260301,phoenix_preflight_smoke,Phoenix preflight smoke: ant flow-wm,alg.save_interval=20;++alg.wandb_log_every_epoch=true;env.config.episode_length=400
preflight_smoke_mjlab_proxy_anymal_mlpwm_mlppolicy_s0_default,preflight_smoke,mjlab_proxy,anymal,mjlab_velocity_flat_unitree_go2,medium,1000,mlpwm_mlppolicy,PWM baseline (MLP world model + MLP policy),pwm_5M_baseline_final,0,default,80,16,4,1,400,flow-mbpo-phoenix-preflight-20260301,phoenix_preflight_smoke,Phoenix preflight smoke: mjlab anymal proxy baseline,alg.save_interval=20;++alg.wandb_log_every_epoch=true;env.config.episode_length=400
