quality,split,windows,terminal_window_rate,fall_window_rate,truncation_window_rate,window_reward_sum_mean,window_reward_sum_std,action_norm_mean,action_norm_std,action_rate_norm_mean,window_reward_sum_p10,window_reward_sum_p50,window_reward_sum_p90,window_action_norm_mean_p10,window_action_norm_mean_p50,window_action_norm_mean_p90,window_action_rate_norm_mean_p10,window_action_rate_norm_mean_p50,window_action_rate_norm_mean_p90,command_0_mean,command_0_abs_max_mean,command_1_mean,command_1_abs_max_mean,command_2_mean,command_2_abs_max_mean,command_2_abs_max_p10,command_2_abs_max_p50,command_2_abs_max_p90
random_smooth,train,728,0.0,0.0,0.0,0.3561989963054657,0.34232890605926514,0.1917409747838974,0.023529017344117165,0.1212444007396698,-0.15346679091453552,0.4174196124076843,0.744779109954834,0.17813262343406677,0.19124481081962585,0.20721153914928436,0.11744417995214462,0.12125659734010696,0.12519580125808716,0.6328723430633545,0.879707396030426,-0.061295151710510254,0.4492153823375702,0.17911513149738312,0.3712843954563141,0.0,0.3777247667312622,0.699999988079071
medium,train,31600,0.0,0.0,0.0,1.268801212310791,0.23445984721183777,0.3950144052505493,0.059975747019052505,0.021048765629529953,1.0924983024597168,1.2284115552902222,1.604638934135437,0.3132546842098236,0.3972127139568329,0.4631979465484619,0.00044423481449484825,0.006747682113200426,0.06767717003822327,0.23379233479499817,0.8276330232620239,-0.007019646465778351,0.4770656228065491,-0.003229997819289565,0.3390641510486603,0.011383228935301304,0.34323498606681824,0.6621359586715698
expert,train,200178,0.0,0.0,0.0,1.2966442108154297,0.20381855964660645,0.3313257098197937,0.051382992416620255,0.019756058230996132,1.1266793012619019,1.235805869102478,1.6178722381591797,0.26121920347213745,0.33733850717544556,0.38768020272254944,0.0003538456803653389,0.004034216515719891,0.07207363098859787,0.2101895958185196,0.8058178424835205,0.0036284406669437885,0.4658881425857544,-0.006786066107451916,0.33791694045066833,0.008759629912674427,0.32816973328590393,0.6727110147476196
expert_noisy,train,50381,0.0,0.0,0.0,1.2586820125579834,0.1807284951210022,0.3243527412414551,0.05017441511154175,0.0779416635632515,1.1216846704483032,1.1923989057540894,1.5563746690750122,0.25873440504074097,0.3279884457588196,0.3796958327293396,0.06552524864673615,0.07098701596260071,0.10482804477214813,0.17617283761501312,0.8391370177268982,0.008805197663605213,0.47163739800453186,-0.012541087344288826,0.3130100667476654,0.013463341630995274,0.281678169965744,0.6718065142631531
